method,state_source,parameter,estimate,crlb_std,relative_std,max_abs_correlation,samples
EquationError-LS,direct,C_L0,0.0919442300773224,0.0003223869881806659,0.0035063319134822045,0.5323870005048917,52
EquationError-LS,direct,C_L_alpha,3.6210444744490298,0.0007800292742020294,0.0002154155464552025,0.6573042357789521,52
EquationError-LS,direct,C_D0,0.011949685503593942,0.00022061381914762767,0.018461893334454426,0.7410043904578173,52
EquationError-LS,direct,k,0.18478210705336898,0.00019639061794151502,0.0010628227000615013,0.7410043904577872,52
EquationError-LS,direct,C_M0,0.1937620125005613,0.00018296462477678627,0.000944275002182155,0.6798646253914202,52
EquationError-LS,direct,C_M_alpha,-2.1176783684230966,0.0007067970627733355,0.0003337603449666643,0.713266336432437,52
EquationError-LS,direct,C_M_Q,-2.0579896298416727,0.011786688165696871,0.00572728258431684,0.6573042357793637,52
EquationError-LS,direct,C_M_delta_e,0.5254458794344841,0.0010191503011244883,0.0019395913851705492,0.4787961005255712,52
EquationError-LS,mocap,C_L0,0.1188665296227718,0.0018489749601735268,0.015555051249845778,0.9279903058544806,52
EquationError-LS,mocap,C_L_alpha,3.534377726112857,0.0012277136118270119,0.0003473634418744663,0.7728712839433469,52
EquationError-LS,mocap,C_D0,0.0,0.0004026508838480682,402650883.8480682,0.7142423278701592,52
EquationError-LS,mocap,k,0.5,0.0006524089437862276,0.0013048178875724552,0.7728712839414348,52
EquationError-LS,mocap,C_M0,0.19854786872734168,0.000990607193164523,0.004989261277464965,0.9279903058539489,52
EquationError-LS,mocap,C_M_alpha,-2.0364301923240062,0.0014171054122864056,0.0006958772353837391,0.5957832893014267,52
EquationError-LS,mocap,C_M_Q,-4.651044762919341,0.016407593746284106,0.0035277221748314207,0.7437809407168103,52
EquationError-LS,mocap,C_M_delta_e,0.4535338771251052,0.0009009733788888475,0.0019865624693793673,0.7058519450017593,52
