method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.25099520351749455,0.0,nan,nan,nan,1.8828570419998414,1.8828570419998414,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,2.4743672184353005,0.2563136004497553,0.20542165333415288,0.3996426285328117,nan,nan,nan,0.09217377187060037,0.03928958203307483,0.14708666841293028,u_cmd,direct
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.25027505982131903,0.10712608900007581,nan,nan,nan,0.2568366010000318,0.3639626900001076,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,4.798683800719448,0.07149438091487573,0.48917864536550976,0.713474553594758,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.22534817236774538,0.14467942900000708,nan,nan,nan,1.2815947430001415,1.4262741720001486,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,4.266076904880646,0.07017152907266073,0.42582930719749507,0.6376463802927604,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.037952802311381234,0.08003295399998933,nan,nan,nan,1.063274852999939,1.1433078069999283,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,0.42412137206284356,0.019181251295898396,0.06480592297073819,0.1423216351562916,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1312.6587607266265,0.9078578880000805,nan,nan,nan,0.27307656900006805,1.1809344570001485,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,2011.6106788785366,1158.8952249057406,681.4347478605765,7290.4915854102655,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,10.11083827316172,1.8947178890000487,nan,nan,nan,3.3908912599999894,5.285609149000038,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,89.13788089897945,10.628956959522341,7.732446551881684,17.563622345363868,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.3056850111769866,8.532072208000045,nan,nan,nan,0.3461970400001064,8.878269248000151,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,5.736063871673168,0.07566310177078897,0.6776492156611299,0.8534981367846446,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.12801690109261454,0.01931918099990071,nan,nan,nan,1.718824512000083,1.7381436929999836,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,1.94240117424785,0.04816350553658491,0.24648097300238095,0.42037628985793724,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.07236562043169338,0.3337679629999002,nan,nan,nan,1.806649550999964,2.1404175139998642,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,0.9591639211654549,0.03923180715301387,0.12011571650970591,0.21465384092072726,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.4416059144293863,0.9036004150000281,nan,nan,nan,1.3410781459999725,2.2446785610000006,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,6.094676992215604,0.2050103421621724,1.1049186656006953,0.8410857220548652,13.00104654525677,9.717838393808464,1.1085506796239357,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.07651221743000433,1.0230346209998515,nan,nan,nan,2.054254626000102,3.0772892469999533,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,1.0727235955175647,0.032910203001218025,0.13769002579785558,0.26008129754841586,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS,Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.05905705931401521,2.9882972789998803,nan,nan,nan,1.5979923770000823,4.586289655999963,11264.128869452059,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,0.8538888705528944,0.02496355626424451,0.10977667733206647,0.19072377257262169,nan,nan,nan,nan,nan,nan,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,0.7278131429829116,0.08289499599982264,nan,nan,nan,8.617255065000109,8.700150060999931,0.0020200192787072162,20,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,False,2.852791513765349,0.8165950801408245,0.4424738602788145,2.0452281692266885,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,1.955153024044144,48.99757004800017,nan,nan,nan,0.9355394330000308,49.9331094810002,nan,16,202,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,False,6.906203392960998,1.1827341766749249,7.665344795553657,2.0125494807453816,36.68565288541995,8.583556486906842,7.949039773594651,nan,nan,nan,u_cmd,direct
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.06712960842990495,2.2613611500000843,nan,nan,nan,3.3745517110000947,5.635912861000179,0.32503858218651344,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.11, residual gain=1.",open_loop,False,0.6548955617339474,0.05133164515821234,0.0984758069326174,0.16773537573630143,nan,nan,nan,0.03555609305003751,0.032552701008949664,0.08145943633556048,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.04764854225107605,0.9342544319997614,0.937248833,0.93399951171875,68.81005859375,2.4739347169997927,3.408189148999554,0.33309587836265564,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,False,0.43805901007699016,0.03632666042799537,0.06672464758645875,0.13313217632687865,nan,nan,nan,nan,nan,nan,u_cmd,direct
