feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
1,-92.90366850821084,-0.11159437893909013,0.11190239851409955,2.6719773611732838
V,0.0,0.0,0.0,0.0
alpha,0.0,3.758219250947884,-3.7517443350139263,-9.416075924439227
gamma,0.0,0.0,0.0,0.0
Q,0.0,0.558191372504136,0.44253568128999904,0.0
T,0.0,0.0,0.0,0.0
delta_e,0.0,0.20251793916807675,-0.20284708560440295,6.444353271258297
V alpha,0.0,-0.684899672804425,0.6837536636859213,-1.8061465630066524
V gamma,-0.9118907254304142,0.0,0.0,0.0
alpha Q,0.0,0.0,0.0,0.0
Q delta_e,-6.696356229282599,0.0,0.0,2.432779932071716
T alpha,0.0,0.0,0.0,0.0
alpha^2,0.0,0.0,0.0,0.0
gamma^2,-8.337659848068226,0.0,0.0,0.0
Q^2,0.0,0.0,0.0,0.0
delta_e^2,0.0,0.0,0.0,0.0
sin(alpha),0.0,0.0,0.0,0.0
sin(gamma),3.0641994623406603,0.0,0.0,-0.7719145058817205
cos(alpha),94.80489472161614,0.0,0.0,0.0
cos(gamma),0.0,0.5351233344281822,-0.5346303430899801,0.0
