method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.1240473587578218,0.06120200300006218,nan,nan,nan,0.5771904970001742,0.6383925000002364,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,3.9543434300185027,0.03009191270195573,0.3192524521196896,0.31558671694909934,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.0869783264591128,0.0,nan,nan,nan,3.7639986440001394,3.7639986440001394,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,2.8806885827209325,0.025651589236960155,0.21729098273291841,0.1859345484702779,nan,nan,nan,0.01825136443636193,0.01051815539752961,0.040929601856855236,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.13470292736615191,0.100114923999854,nan,nan,nan,3.0196247760000006,3.1197396999998546,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,5.180159522786487,0.028126615914917157,0.35062114618676454,0.26180289650019145,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.16064911642366092,0.04344610299995111,nan,nan,nan,2.7427274740000485,2.7861735769999996,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,5.136582606296978,0.04204317552029184,0.4223220438569092,0.3732863236503177,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1730.4551179697305,0.5577388859999246,nan,nan,nan,0.21140645600007701,0.7691453420000016,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,962.4907614259464,1418.832858983486,867.2317280187996,9022.770489795206,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.11594786628446949,3.837760413999831,nan,nan,nan,0.7246750379999867,4.562435451999818,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,3.645152574525353,0.02900191681911098,0.296611549958604,0.29758369387206496,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.21508482796754758,0.009304145999976754,nan,nan,nan,3.7739517989998603,3.783255944999837,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,6.2824108478931695,0.07800967536074438,0.49447699335585027,0.5200919697214351,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.1526322428431315,0.1811393800001042,nan,nan,nan,3.7864760360000673,3.9676154160001715,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,4.946383350512838,0.040865520556155395,0.3967593223225622,0.3465671014324655,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,0.4019854695119021,1.1185796540000865,nan,nan,nan,7.557687834000035,8.676267488000121,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,10.111413181545768,0.3157883040769025,0.4394798403846265,0.6682974415137856,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.850917636846192,0.792803314999901,nan,nan,nan,3.7915736390000347,4.584376953999936,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,8.236396000098278,0.18533619752670058,4.993616385390517,0.6894430254818682,86.5749486580452,17.34967674369054,4.98430267597702,nan,nan,nan,u_cmd,direct
