case,feature,dV/dt,dalpha/dt,dgamma/dt,dQ/dt
noise_only,1,3.4474347706973267,0.004169217391044895,-0.1276543767895105,-0.22622839039220644
noise_only,V,-0.19686739032121262,0.0,0.0,0.1122209029583042
noise_only,alpha,-25.999359903385884,0.0,-20.892775564503886,12.93143378863436
noise_only,gamma,-9.254296648780686,0.0,0.0,0.0
noise_only,Q,0.0,0.0,0.0,-2.625381317361407
noise_only,T,0.0,0.0,0.0,0.0
noise_only,delta_e,0.0,0.0,0.0,20.520787884295412
noise_only,V alpha,0.0,0.0,1.2838606558360506,-1.5471993882220443
noise_only,V gamma,0.0,0.0,0.0,0.0
noise_only,alpha Q,0.0,0.5903927253998446,0.0,0.0
noise_only,gamma Q,0.0,0.0,0.0,0.0
noise_only,Q delta_e,0.0,0.0,0.0,0.0
noise_only,T alpha,18.16160946084494,0.0,0.0,0.0
noise_only,alpha^2,-85.74272535180731,0.0,72.01718426210225,-121.154440461574
noise_only,gamma^2,0.0,0.0,0.0,0.0
noise_only,Q^2,0.0,0.0,0.0,0.0
noise_only,sin(alpha)-alpha,-2936.601553115521,0.0,663.451385324808,-3062.746855611906
noise_only,sin(gamma)-gamma,0.0,0.0,0.0,0.0
noise_only,cos(alpha)-1+alpha^2/2,-17957.365252596803,0.0,0.0,-16648.851157749294
noise_only,cos(gamma)-1+gamma^2/2,0.0,0.0,0.0,0.0
lag_limit_gust_mismatch,1,2.502789202737131,-0.019898406036387477,-0.09185041389923487,-0.5126739426567819
lag_limit_gust_mismatch,V,-0.18695811624571734,0.0,0.0,0.08796665678300049
lag_limit_gust_mismatch,alpha,-29.846065987933365,0.0,-22.11958319418938,44.072306293354046
lag_limit_gust_mismatch,gamma,-9.340697329166183,0.0,0.0,-1.0050388761063893
lag_limit_gust_mismatch,Q,0.0,0.0,0.0,-1.2497331629904729
lag_limit_gust_mismatch,T,0.0,0.0,0.0,0.0
lag_limit_gust_mismatch,delta_e,0.0,0.0,0.0,17.314503975958615
lag_limit_gust_mismatch,V alpha,1.5110575025708934,0.020760955885642363,1.2807581931944665,-2.251157820043358
lag_limit_gust_mismatch,V gamma,0.0,0.0,0.0,0.0404710563992784
lag_limit_gust_mismatch,alpha Q,-13.82444469498001,0.0,0.0,0.0
lag_limit_gust_mismatch,gamma Q,0.0,0.0,0.0,0.0
lag_limit_gust_mismatch,Q delta_e,0.0,0.0,0.0,0.0
lag_limit_gust_mismatch,T alpha,10.336348217421808,0.0,0.0,0.0
lag_limit_gust_mismatch,alpha^2,0.0,0.0,83.36315861401445,-353.14570338584747
lag_limit_gust_mismatch,gamma^2,0.0,0.0,0.0,0.0
lag_limit_gust_mismatch,Q^2,-2.8241038139746157,0.0,0.0,0.0
lag_limit_gust_mismatch,sin(alpha)-alpha,0.0,0.0,841.8354677742051,-8695.11187937598
lag_limit_gust_mismatch,sin(gamma)-gamma,0.0,0.0,0.0,0.0
lag_limit_gust_mismatch,cos(alpha)-1+alpha^2/2,0.0,0.0,0.0,-50348.02251071896
lag_limit_gust_mismatch,cos(gamma)-1+gamma^2/2,0.0,0.0,0.0,0.0
