feature,CL,CD,Cm
CL:base:1,1263.9774960131556,0.0,0.0
CL:base:alpha,4.680774887629828,0.0,0.0
CL:res:V,-0.05333512096101267,0.0,0.0
CL:res:Q,0.5897121798230291,0.0,0.0
CL:res:delta_e,-0.5005534055901469,0.0,0.0
CL:res:V alpha,-0.466524736591332,0.0,0.0
CL:res:V gamma,0.02534273816544764,0.0,0.0
CL:res:alpha Q,0.6121530574782386,0.0,0.0
CL:res:Q delta_e,-0.3390125396770387,0.0,0.0
CL:res:alpha^2,-625.3272990795397,0.0,0.0
CL:res:gamma^2,0.4350811522447643,0.0,0.0
CL:res:Q^2,0.13633811254903488,0.0,0.0
CL:res:sin(gamma),-0.3465749670939261,0.0,0.0
CL:res:cos(alpha),-1264.3262784269868,0.0,0.0
CL:res:cos(gamma),1.494970112523454,0.0,0.0
CD:base:1,0.0,5068.046003174128,0.0
CD:base:alpha,0.0,-25.57224393110939,0.0
CD:base:alpha^2,0.0,-2462.291793202007,0.0
CD:res:V,0.0,-0.2083365753807596,0.0
CD:res:gamma,0.0,6.270769949162431,0.0
CD:res:Q,0.0,0.783861211246297,0.0
CD:res:T,0.0,0.5210315136580544,0.0
CD:res:delta_e,0.0,0.8509829147455718,0.0
CD:res:V alpha,0.0,0.9443130717777342,0.0
CD:res:V gamma,0.0,0.17935585843706645,0.0
CD:res:alpha Q,0.0,-7.363000957152757,0.0
CD:res:Q delta_e,0.0,2.7151381836742168,0.0
CD:res:T alpha,0.0,-3.335527941891017,0.0
CD:res:gamma^2,0.0,7.596048370597738,0.0
CD:res:Q^2,0.0,-0.32096730724402217,0.0
CD:res:delta_e^2,0.0,-2.326009012315011,0.0
CD:res:sin(gamma),0.0,-8.683713182330699,0.0
CD:res:cos(alpha),0.0,-5079.296725400887,0.0
CD:res:cos(gamma),0.0,14.079775109666224,0.0
Cm:base:1,0.0,0.0,-829.0082692329942
Cm:base:alpha,0.0,0.0,3.4067315764356465
Cm:base:Q_hat,0.0,0.0,-17.258811091058565
Cm:base:delta_e,0.0,0.0,0.36027191748906284
Cm:res:V alpha,0.0,0.0,-0.1666386553670277
Cm:res:V gamma,0.0,0.0,0.023925207643353028
Cm:res:alpha Q,0.0,0.0,1.471981020490378
Cm:res:alpha^2,0.0,0.0,396.59926759788294
Cm:res:gamma^2,0.0,0.0,2.000195324165469
Cm:res:sin(gamma),0.0,0.0,-0.2966352703402905
Cm:res:cos(alpha),0.0,0.0,824.8280494750353
Cm:res:cos(gamma),0.0,0.0,4.181065745561115
